,blockNumber,kittyId,case:genes,case:concept:name,concept:name,time:timestamp,from,to,start_timestamp_Rounded,genes,isValue,isValueCase2
10541821,8212824,,-3019947904495252141,995907,Is Transferred,2019-07-24 12:26:00+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0x7316e9cf94bef40d4981d66a5c41c38b6b32454c,2019-07-24 12:30:00+00:00,-3019947904495252141,True,False
10541820,8212389,,-3019947904495252141,995907,Is Transferred,2019-07-24 10:45:36+00:00,0xa21e0974137bf8400eb7dca606d9dcb190d79ed9,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-07-24 10:50:00+00:00,-3019947904495252141,True,False
10541819,8210707,,-3019947904495252141,995907,Is Transferred,2019-07-24 04:26:09+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0xa21e0974137bf8400eb7dca606d9dcb190d79ed9,2019-07-24 04:30:00+00:00,-3019947904495252141,True,False
10541818,8210290,,-3019947904495252141,995907,Is Transferred,2019-07-24 02:45:17+00:00,0xbabda06088c242fb2a763aa7cc99706cb77ba735,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-07-24 02:50:00+00:00,-3019947904495252141,True,False
10541817,8208511,,-3019947904495252141,995907,Is Transferred,2019-07-23 20:26:05+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0xbabda06088c242fb2a763aa7cc99706cb77ba735,2019-07-23 20:30:00+00:00,-3019947904495252141,True,False
10541816,8208078,,-3019947904495252141,995907,Is Transferred,2019-07-23 18:45:06+00:00,0x236ef21dc36d0aec3990dd5ee84a9d5320644262,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-07-23 18:50:00+00:00,-3019947904495252141,True,False
10541815,8206369,,-3019947904495252141,995907,Is Transferred,2019-07-23 12:26:10+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0x236ef21dc36d0aec3990dd5ee84a9d5320644262,2019-07-23 12:30:00+00:00,-3019947904495252141,True,False
10541814,8205944,,-3019947904495252141,995907,Is Transferred,2019-07-23 10:45:03+00:00,0xf5aee6d7b838d5ede8aa65d31dbc11116545180c,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-07-23 10:50:00+00:00,-3019947904495252141,True,False
10541813,8204241,,-3019947904495252141,995907,Is Transferred,2019-07-23 04:27:17+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0xf5aee6d7b838d5ede8aa65d31dbc11116545180c,2019-07-23 04:30:00+00:00,-3019947904495252141,True,False
10541812,8203772,,-3019947904495252141,995907,Is Transferred,2019-07-23 02:45:06+00:00,0x179d698f5a1c84c3ff4c5eb04e553c15a0c1d8d8,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-07-23 02:50:00+00:00,-3019947904495252141,True,False
10541811,8202059,,-3019947904495252141,995907,Is Transferred,2019-07-22 20:26:04+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0x179d698f5a1c84c3ff4c5eb04e553c15a0c1d8d8,2019-07-22 20:30:00+00:00,-3019947904495252141,True,False
10541810,8201604,,-3019947904495252141,995907,Is Transferred,2019-07-22 18:45:22+00:00,0xbabda06088c242fb2a763aa7cc99706cb77ba735,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-07-22 18:50:00+00:00,-3019947904495252141,True,False
10541809,8199904,,-3019947904495252141,995907,Is Transferred,2019-07-22 12:26:21+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0xbabda06088c242fb2a763aa7cc99706cb77ba735,2019-07-22 12:30:00+00:00,-3019947904495252141,True,False
10541808,8199460,,-3019947904495252141,995907,Is Transferred,2019-07-22 10:45:18+00:00,0x6a47b60c377450a460d3eb828d534ee66eead668,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-07-22 10:50:00+00:00,-3019947904495252141,True,False
10541807,8197745,,-3019947904495252141,995907,Is Transferred,2019-07-22 04:26:12+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0x6a47b60c377450a460d3eb828d534ee66eead668,2019-07-22 04:30:00+00:00,-3019947904495252141,True,False
10541806,8197296,,-3019947904495252141,995907,Is Transferred,2019-07-22 02:45:05+00:00,0xadd12bd6375dc21d579cc4abcfa04864d6ac9a62,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-07-22 02:50:00+00:00,-3019947904495252141,True,False
10541805,8195605,,-3019947904495252141,995907,Is Transferred,2019-07-21 20:26:14+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0xadd12bd6375dc21d579cc4abcfa04864d6ac9a62,2019-07-21 20:30:00+00:00,-3019947904495252141,True,False
10541804,8195141,,-3019947904495252141,995907,Is Transferred,2019-07-21 18:45:18+00:00,0xf5aee6d7b838d5ede8aa65d31dbc11116545180c,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-07-21 18:50:00+00:00,-3019947904495252141,True,False
10541803,8193494,,-3019947904495252141,995907,Is Transferred,2019-07-21 12:26:57+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0xf5aee6d7b838d5ede8aa65d31dbc11116545180c,2019-07-21 12:30:00+00:00,-3019947904495252141,True,False
10541802,8193055,,-3019947904495252141,995907,Is Transferred,2019-07-21 10:46:46+00:00,0x87b77fabfeb869150b8e1b9462603f9a639c5fae,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-07-21 10:50:00+00:00,-3019947904495252141,True,False
10541801,8191303,,-3019947904495252141,995907,Is Transferred,2019-07-21 04:26:00+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0x87b77fabfeb869150b8e1b9462603f9a639c5fae,2019-07-21 04:30:00+00:00,-3019947904495252141,True,False
10541800,8190857,,-3019947904495252141,995907,Is Transferred,2019-07-21 02:45:07+00:00,0x8acc1421ec98689461ff5777de8ad6648dc6d643,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-07-21 02:50:00+00:00,-3019947904495252141,True,False
10541799,8189171,,-3019947904495252141,995907,Is Transferred,2019-07-20 20:25:56+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0x8acc1421ec98689461ff5777de8ad6648dc6d643,2019-07-20 20:30:00+00:00,-3019947904495252141,True,False
